                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91707,                 2.6573,                 1.3842,                0.79056,                0.68668,                0.75209,                  0.566,                0.89901,                 1.3249,                 1.4094,              0.0033122,              0.0033122,              0.0033122
                      2,                0.84142,                 1.2417,                 1.3107,                0.72519,                0.52559,                0.63589,                0.43805,                 1.0732,                 1.7048,                 1.5898,              0.0066236,              0.0066236,              0.0066236
                      3,                0.92666,                 1.3018,                 1.3534,                0.62376,                0.55892,                0.58777,                0.37412,                 1.2227,                 1.6954,                 1.7732,               0.009913,               0.009913,               0.009913
                      4,                 1.0337,                 1.4629,                 1.4317,                0.47415,                0.31018,                0.32633,                0.15682,                 1.8818,                 2.9872,                 2.8627,               0.009901,               0.009901,               0.009901
                      5,                 1.0706,                 1.4626,                 1.4604,                0.65792,                0.58181,                0.62209,                0.40642,                 1.2017,                 1.6632,                 1.7208,               0.009901,               0.009901,               0.009901
                      6,                 1.0424,                 1.4177,                 1.4368,                0.53303,                0.54118,                0.52701,                0.30794,                 1.4296,                 1.9979,                 2.0241,               0.009868,               0.009868,               0.009868
                      7,                 1.0371,                 1.3604,                 1.4306,                0.72269,                0.64958,                0.72197,                 0.4872,                 1.1669,                 1.2806,                 1.6623,               0.009835,               0.009835,               0.009835
                      8,                 1.0364,                 1.3624,                 1.4387,                0.76283,                0.66154,                0.73384,                0.49417,                 1.1744,                 1.3021,                 1.6802,               0.009802,               0.009802,               0.009802
                      9,                 1.0076,                 1.3109,                 1.4085,                0.72045,                0.70925,                0.75779,                0.52668,                 1.0926,                 1.3958,                 1.6209,               0.009769,               0.009769,               0.009769
                     10,                0.99669,                  1.253,                 1.4001,                 0.6243,                  0.483,                0.53904,                0.31844,                 1.5098,                 1.7692,                 2.1545,               0.009736,               0.009736,               0.009736
                     11,                0.98863,                 1.2313,                 1.3972,                0.77753,                0.58962,                0.69449,                0.47276,                 1.1781,                 1.4486,                 1.6804,               0.009703,               0.009703,               0.009703
                     12,                0.97466,                 1.1983,                 1.3942,                0.74599,                0.70382,                0.77236,                0.53803,                 1.0911,                 1.1645,                  1.582,                0.00967,                0.00967,                0.00967
                     13,                0.95849,                 1.1869,                 1.3683,                0.76297,                0.74218,                0.79815,                0.56144,                  1.045,                 1.1072,                 1.5666,               0.009637,               0.009637,               0.009637
                     14,                0.94461,                 1.1196,                  1.356,                0.71716,                0.67461,                0.72561,                0.50901,                 1.0897,                  1.191,                  1.605,               0.009604,               0.009604,               0.009604
                     15,                0.93674,                 1.1163,                 1.3587,                0.81493,                0.71871,                0.80309,                0.57672,                 1.0402,                 1.0613,                  1.555,               0.009571,               0.009571,               0.009571
                     16,                0.90378,                 1.0872,                 1.3287,                0.80741,                0.72088,                 0.7901,                 0.5706,                 1.0291,                 1.0596,                 1.5443,               0.009538,               0.009538,               0.009538
                     17,                0.92005,                 1.0777,                 1.3511,                0.78857,                0.66376,                 0.7551,                0.52757,                 1.0861,                 1.1498,                 1.5926,               0.009505,               0.009505,               0.009505
                     18,                0.90317,                 1.0695,                 1.3342,                0.82086,                 0.7553,                0.81957,                0.59965,                0.99226,                 1.0156,                 1.5019,               0.009472,               0.009472,               0.009472
                     19,                 0.8784,                   1.03,                 1.3024,                 0.8413,                0.78138,                0.83274,                0.61542,                 0.9441,                0.90662,                  1.451,               0.009439,               0.009439,               0.009439
                     20,                0.87527,                 1.0233,                 1.3207,                 0.8281,                0.68605,                0.77811,                0.56328,                 1.0211,                 1.2046,                 1.5249,               0.009406,               0.009406,               0.009406
                     21,                0.86847,                 1.0199,                 1.3059,                0.82562,                0.73667,                 0.8158,                 0.5907,                  1.019,                 1.0044,                 1.5384,               0.009373,               0.009373,               0.009373
                     22,                0.85383,                0.98975,                  1.295,                0.87394,                0.72742,                0.83534,                0.61781,                0.95253,                0.93473,                 1.4486,                0.00934,                0.00934,                0.00934
                     23,                0.85101,                0.96377,                 1.2923,                0.80479,                0.75804,                0.83337,                0.62799,                0.91502,                0.90853,                 1.4307,               0.009307,               0.009307,               0.009307
                     24,                0.83965,                0.95357,                 1.2895,                0.81294,                0.78543,                0.83198,                0.63477,                0.90101,                0.90397,                 1.4051,               0.009274,               0.009274,               0.009274
                     25,                0.83087,                0.93297,                 1.2829,                0.84818,                0.77443,                0.85021,                0.64597,                0.92013,                0.88902,                 1.4157,               0.009241,               0.009241,               0.009241
                     26,                0.83413,                0.94038,                 1.2775,                0.83369,                 0.7832,                0.83684,                0.63546,                0.92108,                0.88465,                 1.4451,               0.009208,               0.009208,               0.009208
                     27,                0.84164,                0.95192,                 1.2888,                0.75027,                0.60992,                 0.6963,                0.45679,                 1.2615,                 1.3802,                 1.9082,               0.009175,               0.009175,               0.009175
                     28,                0.82764,                0.92848,                 1.2804,                0.88812,                0.74641,                0.85165,                0.65014,                0.89998,                0.84849,                 1.4033,               0.009142,               0.009142,               0.009142
                     29,                0.82801,                0.91353,                 1.2697,                0.87933,                0.77322,                0.85613,                0.65767,                0.88741,                0.82113,                 1.4025,               0.009109,               0.009109,               0.009109
                     30,                0.82777,                0.90205,                 1.2823,                0.88016,                0.79936,                0.85548,                0.65685,                0.88448,                0.86562,                 1.4052,               0.009076,               0.009076,               0.009076
                     31,                 0.8075,                0.87983,                 1.2631,                0.85278,                0.77436,                0.85202,                0.65067,                0.90408,                0.88154,                 1.4104,               0.009043,               0.009043,               0.009043
                     32,                0.81244,                0.86485,                 1.2645,                0.87597,                0.77371,                0.84726,                0.64077,                0.89639,                0.84236,                 1.3971,                0.00901,                0.00901,                0.00901
                     33,                0.81227,                0.87128,                 1.2643,                0.85526,                 0.7911,                0.84788,                0.64627,                0.90189,                0.86135,                 1.4181,               0.008977,               0.008977,               0.008977
                     34,                0.80043,                0.86943,                 1.2553,                0.86018,                0.78905,                0.85174,                0.65051,                0.89786,                0.84332,                 1.4077,               0.008944,               0.008944,               0.008944
                     35,                0.78525,                0.86225,                 1.2471,                0.86853,                0.79108,                0.86336,                0.66768,                0.87437,                0.80268,                 1.3705,               0.008911,               0.008911,               0.008911
                     36,                0.77301,                0.84229,                 1.2455,                0.86538,                0.78214,                0.84907,                0.65392,                0.90105,                 0.8648,                 1.3884,               0.008878,               0.008878,               0.008878
                     37,                0.79065,                0.84773,                 1.2492,                0.84273,                0.77174,                0.84921,                 0.6583,                0.87786,                0.84037,                 1.3876,               0.008845,               0.008845,               0.008845
                     38,                0.77361,                0.81828,                 1.2333,                0.87851,                0.79097,                0.86741,                0.66126,                0.87433,                0.82243,                 1.3837,               0.008812,               0.008812,               0.008812
                     39,                0.77037,                0.82855,                 1.2383,                0.89837,                0.77491,                0.85715,                0.66349,                0.84865,                0.79104,                   1.36,               0.008779,               0.008779,               0.008779
                     40,                0.77449,                0.82083,                 1.2372,                0.85756,                0.79621,                0.86501,                0.66733,                0.85355,                0.78969,                 1.3677,               0.008746,               0.008746,               0.008746
                     41,                0.76675,                0.82107,                 1.2327,                0.85668,                0.79925,                0.86606,                0.65879,                0.89364,                0.79173,                 1.3969,               0.008713,               0.008713,               0.008713
                     42,                0.77293,                0.81226,                 1.2333,                0.86516,                0.79465,                0.86559,                 0.6775,                0.84848,                0.75899,                 1.3728,                0.00868,                0.00868,                0.00868
                     43,                0.76861,                0.80153,                 1.2333,                0.88356,                0.79152,                0.87407,                0.68559,                0.84559,                0.74213,                 1.3731,               0.008647,               0.008647,               0.008647
                     44,                0.75649,                0.78067,                  1.223,                0.87717,                0.78962,                0.86759,                0.66795,                0.86181,                0.75913,                 1.3839,               0.008614,               0.008614,               0.008614
                     45,                0.74386,                0.78496,                 1.2137,                 0.8726,                0.79522,                0.85693,                 0.6663,                0.85465,                0.82619,                 1.3832,               0.008581,               0.008581,               0.008581
                     46,                  0.753,                0.77067,                 1.2155,                0.84089,                0.81144,                0.86373,                0.66767,                0.85567,                0.78494,                 1.3643,               0.008548,               0.008548,               0.008548
                     47,                0.74341,                0.78222,                 1.2204,                0.87963,                0.80022,                0.87069,                  0.678,                0.84746,                0.76099,                 1.3654,               0.008515,               0.008515,               0.008515
                     48,                0.73009,                0.74712,                 1.2064,                 0.8818,                0.82087,                0.87951,                0.67993,                0.83009,                0.72898,                 1.3657,               0.008482,               0.008482,               0.008482
                     49,                0.75272,                0.76846,                 1.2267,                0.86562,                0.81633,                0.87598,                0.67682,                0.83832,                0.76115,                 1.3516,               0.008449,               0.008449,               0.008449
                     50,                0.73556,                0.74775,                 1.2065,                0.87907,                 0.8058,                0.87772,                0.68253,                0.85638,                0.74654,                 1.3877,               0.008416,               0.008416,               0.008416
                     51,                0.72857,                0.75423,                 1.2058,                0.87955,                0.79884,                0.86833,                0.67794,                0.84432,                0.75948,                 1.3811,               0.008383,               0.008383,               0.008383
                     52,                0.72826,                0.73384,                 1.1972,                0.87575,                 0.8039,                0.87505,                0.67905,                0.85737,                 0.7402,                  1.379,                0.00835,                0.00835,                0.00835
                     53,                0.72792,                0.74397,                 1.2033,                 0.8484,                0.82711,                0.88131,                0.69213,                0.81976,                 0.7246,                 1.3351,               0.008317,               0.008317,               0.008317
                     54,                0.72589,                 0.7629,                  1.205,                0.82061,                0.79937,                0.86639,                 0.6799,                0.83893,                0.77981,                 1.3663,               0.008284,               0.008284,               0.008284
                     55,                0.71293,                0.72483,                 1.1916,                0.87765,                0.80294,                0.87461,                 0.6893,                0.84527,                0.73869,                 1.3663,               0.008251,               0.008251,               0.008251
