                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79406,                0.86589,                 1.2484,                0.87833,                0.77818,                 0.8593,                0.66582,                0.88229,                0.80105,                 1.3861,              0.0093466,              0.0093466,              0.0093466
                     36,                0.77837,                 0.8535,                 1.2463,                0.84565,                 0.7687,                0.83147,                0.63457,                0.91651,                0.87877,                 1.4244,              0.0093268,              0.0093268,              0.0093268
                     37,                0.78938,                0.85122,                 1.2478,                0.84049,                 0.8149,                0.84916,                0.64676,                0.88568,                0.83051,                 1.3904,               0.009307,               0.009307,               0.009307
                     38,                0.77826,                0.82793,                 1.2366,                0.89047,                0.82284,                0.88201,                0.69052,                0.82465,                0.75905,                 1.3297,              0.0092872,              0.0092872,              0.0092872
                     39,                0.77741,                0.82744,                 1.2427,                0.85413,                 0.7732,                0.83697,                0.62786,                0.91786,                0.85981,                 1.4314,              0.0092674,              0.0092674,              0.0092674
                     40,                0.77589,                0.83245,                 1.2355,                0.89043,                0.79779,                0.87094,                0.68071,                0.84854,                0.74203,                 1.3511,              0.0092476,              0.0092476,              0.0092476
                     41,                 0.7851,                 0.8297,                 1.2445,                0.83088,                0.79228,                0.85011,                0.65733,                0.87226,                0.83538,                 1.3758,              0.0092278,              0.0092278,              0.0092278
                     42,                0.77732,                0.82561,                 1.2326,                0.84815,                0.78463,                0.86355,                0.66172,                0.86692,                0.81081,                  1.381,               0.009208,               0.009208,               0.009208
                     43,                0.76663,                0.80428,                 1.2299,                0.86149,                0.80309,                 0.8734,                0.67972,                0.85312,                0.76651,                 1.3596,              0.0091882,              0.0091882,              0.0091882
                     44,                0.76318,                0.79803,                 1.2288,                0.84751,                0.82978,                0.87144,                0.67818,                0.83815,                0.73891,                 1.3583,              0.0091684,              0.0091684,              0.0091684
                     45,                0.75226,                0.79521,                 1.2133,                0.86028,                0.78851,                0.86302,                0.66151,                0.86462,                0.81373,                  1.369,              0.0091486,              0.0091486,              0.0091486
                     46,                0.76076,                0.77984,                 1.2187,                0.85838,                0.80327,                0.86356,                0.66529,                0.86129,                0.77643,                   1.37,              0.0091288,              0.0091288,              0.0091288
                     47,                0.74725,                0.77774,                 1.2197,                0.88127,                0.78453,                0.86641,                0.66937,                 0.8727,                 0.7662,                 1.3993,               0.009109,               0.009109,               0.009109
                     48,                0.73437,                0.76042,                 1.2059,                0.90212,                0.79194,                0.86884,                0.67801,                0.83994,                0.75062,                 1.3645,              0.0090892,              0.0090892,              0.0090892
                     49,                0.74853,                0.76726,                 1.2218,                0.88104,                0.76279,                0.85695,                0.65886,                0.84331,                 0.7684,                 1.3573,              0.0090694,              0.0090694,              0.0090694
                     50,                0.73839,                0.75342,                  1.213,                0.87616,                0.79842,                0.86823,                0.67405,                0.83936,                0.76259,                 1.3486,              0.0090496,              0.0090496,              0.0090496
                     51,                0.73268,                0.76093,                 1.2105,                0.86134,                0.80993,                 0.8755,                0.68585,                0.82644,                0.72213,                 1.3549,              0.0090298,              0.0090298,              0.0090298
                     52,                0.72467,                0.75527,                 1.1992,                 0.8484,                0.83724,                0.87352,                 0.6786,                0.82873,                0.73064,                 1.3625,                0.00901,                0.00901,                0.00901
                     53,                0.72664,                0.76217,                 1.2069,                0.89576,                0.77319,                0.86804,                0.68049,                0.82536,                0.76712,                 1.3441,              0.0089902,              0.0089902,              0.0089902
                     54,                0.73005,                0.77028,                  1.208,                0.87735,                0.80371,                0.88197,                0.68985,                0.82029,                0.72838,                 1.3361,              0.0089704,              0.0089704,              0.0089704
                     55,                0.71968,                0.74517,                 1.1994,                0.92757,                0.80204,                0.88648,                0.69947,                0.81972,                0.70324,                 1.3377,              0.0089506,              0.0089506,              0.0089506
                     56,                 0.7074,                0.73237,                 1.1926,                0.85098,                0.80091,                0.87345,                0.67107,                0.85092,                0.76119,                 1.3723,              0.0089308,              0.0089308,              0.0089308
                     57,                0.71175,                0.72474,                 1.1878,                0.84968,                0.81663,                0.87185,                 0.6769,                0.83697,                0.76198,                 1.3579,               0.008911,               0.008911,               0.008911
                     58,                0.71113,                0.72422,                 1.1926,                0.86524,                0.81455,                0.87701,                0.67638,                   0.83,                 0.7322,                 1.3411,              0.0088912,              0.0088912,              0.0088912
                     59,                0.71179,                0.72809,                 1.1927,                0.85665,                0.81529,                0.87291,                0.68086,                0.83451,                0.72153,                 1.3503,              0.0088714,              0.0088714,              0.0088714
                     60,                0.71546,                0.73265,                 1.2039,                0.88241,                 0.7996,                0.87665,                0.68607,                0.82569,                0.74219,                  1.356,              0.0088516,              0.0088516,              0.0088516
                     61,                0.71057,                0.72392,                 1.1885,                0.90508,                0.78077,                 0.8675,                0.68355,                0.82942,                0.74209,                 1.3605,              0.0088318,              0.0088318,              0.0088318
                     62,                0.71402,                0.72045,                 1.1889,                0.86551,                0.80547,                0.87279,                0.68582,                0.84383,                 0.7623,                 1.3553,               0.008812,               0.008812,               0.008812
                     63,                 0.7081,                0.71962,                 1.1873,                0.86797,                0.81324,                0.87416,                 0.6732,                0.86176,                0.76106,                 1.3821,              0.0087922,              0.0087922,              0.0087922
                     64,                0.69458,                0.68987,                 1.1799,                0.89013,                0.79944,                0.88122,                0.68896,                0.82368,                0.72195,                 1.3468,              0.0087724,              0.0087724,              0.0087724
                     65,                0.69767,                0.70387,                 1.1852,                0.89083,                0.80406,                0.88809,                0.69953,                0.82314,                 0.6967,                 1.3329,              0.0087526,              0.0087526,              0.0087526
                     66,                0.69494,                0.71358,                 1.1751,                0.89916,                0.79611,                 0.8675,                 0.6817,                0.83511,                0.74637,                 1.3579,              0.0087328,              0.0087328,              0.0087328
                     67,                0.69709,                0.69166,                 1.1753,                0.85041,                0.81434,                0.86709,                0.67339,                0.83178,                0.76692,                 1.3511,               0.008713,               0.008713,               0.008713
                     68,                0.68469,                0.69345,                 1.1704,                0.89981,                0.79819,                0.88092,                0.69944,                0.81764,                0.71075,                 1.3273,              0.0086932,              0.0086932,              0.0086932
                     69,                0.68156,                0.68137,                 1.1735,                0.87079,                0.81945,                0.87481,                0.70152,                0.80094,                0.69389,                  1.322,              0.0086734,              0.0086734,              0.0086734
                     70,                0.67886,                0.68376,                 1.1636,                0.88773,                0.81396,                0.87531,                0.69695,                0.81422,                0.71916,                 1.3331,              0.0086536,              0.0086536,              0.0086536
                     71,                0.68449,                0.68703,                 1.1795,                0.86163,                0.83328,                0.87797,                0.68906,                0.82738,                0.73874,                 1.3577,              0.0086338,              0.0086338,              0.0086338
                     72,                0.67807,                 0.6762,                   1.17,                 0.9121,                0.79622,                0.88662,                0.70679,                0.79165,                0.68485,                  1.307,               0.008614,               0.008614,               0.008614
                     73,                0.68268,                0.67671,                 1.1745,                 0.9185,                0.78711,                0.88236,                0.68774,                0.84685,                 0.7295,                 1.3617,              0.0085942,              0.0085942,              0.0085942
                     74,                0.68187,                0.68046,                 1.1759,                0.90529,                0.80133,                 0.8802,                0.69475,                0.81045,                0.72818,                 1.3393,              0.0085744,              0.0085744,              0.0085744
                     75,                0.66946,                0.65507,                 1.1582,                0.85508,                0.83833,                0.88678,                0.69433,                 0.8071,                0.69408,                 1.3337,              0.0085546,              0.0085546,              0.0085546
                     76,                0.67995,                0.67216,                  1.165,                0.88043,                0.81045,                0.87831,                0.69642,                0.80627,                0.71236,                 1.3359,              0.0085348,              0.0085348,              0.0085348
                     77,                0.66719,                0.64844,                 1.1585,                0.86934,                0.83147,                0.87851,                0.70263,                0.79595,                0.69377,                 1.3096,               0.008515,               0.008515,               0.008515
                     78,                0.66783,                0.66899,                 1.1622,                0.86031,                 0.8342,                0.88777,                0.71237,                0.78557,                0.69684,                 1.3004,              0.0084952,              0.0084952,              0.0084952
                     79,                0.66467,                0.64349,                 1.1515,                0.88425,                0.84849,                0.89318,                0.70344,                0.80421,                 0.6624,                 1.3355,              0.0084754,              0.0084754,              0.0084754
                     80,                 0.6603,                0.64905,                  1.155,                0.88695,                0.85179,                 0.8921,                0.70835,                0.80678,                 0.6869,                 1.3203,              0.0084556,              0.0084556,              0.0084556
                     81,                 0.6616,                0.64679,                 1.1545,                0.91805,                0.80008,                0.88193,                0.69701,                0.79564,                0.69033,                 1.3217,              0.0084358,              0.0084358,              0.0084358
                     82,                0.65246,                0.63324,                 1.1509,                0.88824,                0.84865,                0.89492,                 0.7073,                0.81542,                0.68528,                 1.3472,               0.008416,               0.008416,               0.008416
                     83,                0.65744,                0.64101,                 1.1539,                0.84569,                0.85696,                0.89263,                0.71095,                0.78819,                0.65686,                 1.3168,              0.0083962,              0.0083962,              0.0083962
                     84,                 0.6635,                0.63423,                 1.1597,                0.89217,                0.82602,                0.88014,                0.69127,                0.80895,                0.68295,                 1.3298,              0.0083764,              0.0083764,              0.0083764
                     85,                0.65369,                0.62967,                 1.1542,                 0.9031,                0.81545,                0.87879,                0.69577,                0.79473,                0.67592,                 1.3188,              0.0083566,              0.0083566,              0.0083566
                     86,                0.64108,                0.61096,                 1.1423,                0.88667,                0.84932,                 0.8914,                0.70642,                0.77148,                0.64835,                 1.2864,              0.0083368,              0.0083368,              0.0083368
                     87,                0.64836,                0.63438,                 1.1464,                0.85471,                0.81926,                0.87106,                0.68619,                0.83786,                0.73394,                 1.3765,               0.008317,               0.008317,               0.008317
                     88,                0.64733,                0.62858,                 1.1481,                0.87571,                0.82965,                0.88605,                0.70361,                0.78636,                0.68753,                  1.325,              0.0082972,              0.0082972,              0.0082972
                     89,                0.65096,                0.64371,                 1.1565,                0.87869,                0.81668,                0.88086,                0.68622,                0.84107,                0.70242,                 1.3709,              0.0082774,              0.0082774,              0.0082774
                     90,                0.64374,                0.61567,                 1.1427,                0.87478,                0.84985,                0.89082,                0.70776,                0.79145,                0.66371,                 1.3079,              0.0082576,              0.0082576,              0.0082576
                     91,                0.63623,                 0.6115,                  1.131,                0.86573,                0.83937,                0.88296,                0.70654,                0.80025,                0.70103,                 1.3246,              0.0082378,              0.0082378,              0.0082378
                     92,                0.64531,                0.61461,                 1.1513,                0.88423,                0.83711,                0.88254,                0.70822,                0.78779,                0.69339,                 1.2967,               0.008218,               0.008218,               0.008218
                     93,                0.64005,                0.61688,                 1.1454,                0.89861,                 0.8335,                0.89279,                0.70188,                0.78851,                0.67853,                 1.3072,              0.0081982,              0.0081982,              0.0081982
                     94,                0.64752,                0.61828,                 1.1487,                0.87579,                0.84703,                0.88685,                0.69974,                0.80341,                0.67517,                 1.3105,              0.0081784,              0.0081784,              0.0081784
                     95,                0.63401,                0.60046,                 1.1372,                0.87081,                 0.8689,                0.89143,                0.70555,                0.78989,                  0.665,                 1.3175,              0.0081586,              0.0081586,              0.0081586
                     96,                0.62311,                0.59597,                 1.1325,                 0.8853,                0.84064,                0.89084,                0.69776,                0.81044,                0.65245,                 1.3315,              0.0081388,              0.0081388,              0.0081388
                     97,                0.63219,                0.60369,                 1.1335,                0.91688,                0.81476,                0.88855,                0.70993,                0.77905,                0.66605,                 1.3138,               0.008119,               0.008119,               0.008119
                     98,                0.63004,                0.61719,                 1.1396,                0.87763,                0.83242,                0.88489,                0.70444,                 0.7645,                0.67334,                 1.2972,              0.0080992,              0.0080992,              0.0080992
                     99,                0.62831,                0.59553,                 1.1303,                0.88802,                0.82662,                0.88859,                0.70282,                0.78016,                0.65857,                 1.2935,              0.0080794,              0.0080794,              0.0080794
                    100,                 0.6291,                0.60326,                 1.1325,                0.89239,                0.83255,                0.87828,                0.69443,                0.80937,                0.69507,                  1.339,              0.0080596,              0.0080596,              0.0080596
                    101,                0.62525,                0.60055,                 1.1296,                    0.9,                0.81402,                0.88393,                 0.7011,                 0.7827,                0.70332,                 1.3157,              0.0080398,              0.0080398,              0.0080398
                    102,                0.61645,                0.58734,                  1.129,                0.90269,                0.84059,                0.89086,                0.72257,                0.76434,                0.65385,                 1.2984,                0.00802,                0.00802,                0.00802
                    103,                0.62385,                0.59068,                 1.1289,                0.88648,                0.84406,                0.89899,                0.71845,                0.75328,                 0.6288,                 1.2941,              0.0080002,              0.0080002,              0.0080002
                    104,                0.62653,                0.59779,                 1.1272,                0.85316,                0.83364,                0.87719,                0.70025,                0.78746,                0.69099,                 1.3238,              0.0079804,              0.0079804,              0.0079804
                    105,                0.61533,                0.58304,                 1.1237,                0.87051,                0.83464,                0.88077,                0.71195,                0.76565,                0.66261,                 1.3109,              0.0079606,              0.0079606,              0.0079606
                    106,                0.61073,                0.58311,                 1.1194,                0.89085,                0.85273,                0.89417,                0.71066,                 0.7821,                0.62901,                 1.3334,              0.0079408,              0.0079408,              0.0079408
                    107,                0.61644,                0.57932,                 1.1285,                0.88896,                0.83893,                0.88346,                0.70659,                0.78905,                0.64409,                 1.3338,               0.007921,               0.007921,               0.007921
                    108,                0.61508,                0.57609,                  1.123,                0.89439,                0.84112,                0.88173,                0.70948,                0.77648,                0.66927,                 1.3202,              0.0079012,              0.0079012,              0.0079012
                    109,                0.61053,                0.56531,                 1.1248,                 0.8961,                0.83789,                0.88936,                0.71457,                0.78267,                0.64031,                 1.3166,              0.0078814,              0.0078814,              0.0078814
                    110,                0.62066,                0.58371,                 1.1228,                0.87044,                0.83846,                0.88856,                0.72264,                0.75514,                0.63336,                 1.2975,              0.0078616,              0.0078616,              0.0078616
