                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91457,                 2.7028,                 1.3733,                0.77938,                0.68968,                0.74475,                0.59636,                0.76059,                 1.2925,                 1.2376,              0.0033122,              0.0033122,              0.0033122
                      2,                0.81869,                    1.3,                  1.285,                0.74219,                0.66223,                0.71302,                0.54098,                0.87798,                 1.3166,                 1.3479,              0.0066236,              0.0066236,              0.0066236
                      3,                0.90811,                 1.3641,                 1.3369,                0.71894,                0.53597,                0.60957,                0.41722,                 1.0797,                 1.5874,                 1.5786,               0.009913,               0.009913,               0.009913
                      4,                 1.0308,                 1.5134,                 1.4233,                0.51287,                0.46308,                0.46097,                0.27453,                  1.392,                 2.0405,                 1.9001,               0.009901,               0.009901,               0.009901
                      5,                 1.0606,                 1.5291,                  1.441,                0.65844,                0.50977,                0.58311,                0.39202,                 1.1992,                 1.6426,                 1.6589,               0.009901,               0.009901,               0.009901
                      6,                 1.0482,                 1.4746,                 1.4314,                0.60701,                0.49549,                0.53273,                0.33271,                 1.3888,                 1.8915,                   1.89,               0.009868,               0.009868,               0.009868
                      7,                 1.0465,                 1.4166,                  1.422,                0.62762,                 0.2788,                 0.3239,                 0.2039,                 1.5681,                 3.1555,                 2.0654,               0.009835,               0.009835,               0.009835
                      8,                 1.0277,                 1.3967,                 1.4212,                0.74287,                0.63326,                0.69848,                0.49129,                 1.1231,                 1.3458,                 1.5704,               0.009802,               0.009802,               0.009802
                      9,                0.99577,                  1.362,                  1.395,                0.55023,                0.56773,                0.56098,                0.36725,                 1.2778,                 1.7214,                 1.7288,               0.009769,               0.009769,               0.009769
                     10,                0.98621,                 1.3181,                 1.3904,                0.75271,                 0.6699,                 0.7133,                 0.5036,                 1.0815,                 1.2915,                 1.5364,               0.009736,               0.009736,               0.009736
                     11,                0.98289,                 1.2891,                 1.3848,                0.74138,                0.68029,                0.74439,                0.54325,                 1.0437,                 1.2088,                 1.5345,               0.009703,               0.009703,               0.009703
                     12,                0.95625,                 1.2407,                 1.3735,                0.71071,                0.62475,                0.66078,                 0.4716,                 1.0907,                 1.3888,                 1.5356,                0.00967,                0.00967,                0.00967
                     13,                0.96164,                 1.2463,                 1.3679,                0.72845,                0.64515,                0.68615,                0.48522,                 1.1032,                  1.348,                 1.5965,               0.009637,               0.009637,               0.009637
                     14,                0.93922,                 1.1725,                 1.3429,                0.59237,                0.45378,                0.48209,                0.31769,                 1.4007,                 2.2427,                 1.8879,               0.009604,               0.009604,               0.009604
                     15,                0.93281,                 1.1932,                 1.3504,                0.77444,                0.61685,                0.72244,                0.51448,                 1.0688,                 1.2582,                 1.5121,               0.009571,               0.009571,               0.009571
                     16,                0.90803,                 1.1477,                 1.3172,                0.78054,                0.70944,                0.76313,                0.56976,                0.97725,                 1.0975,                 1.4604,               0.009538,               0.009538,               0.009538
                     17,                0.90525,                 1.1356,                 1.3277,                0.83778,                0.72075,                0.78648,                0.58904,                0.93289,                 1.0518,                 1.4019,               0.009505,               0.009505,               0.009505
                     18,                0.89054,                 1.1066,                 1.3235,                0.83734,                0.70075,                0.78368,                0.59018,                0.94151,                  1.083,                  1.419,               0.009472,               0.009472,               0.009472
                     19,                0.86956,                 1.0694,                 1.2953,                0.77479,                0.69938,                0.75036,                0.54482,                0.98014,                 1.1659,                 1.4681,               0.009439,               0.009439,               0.009439
                     20,                0.87333,                 1.0721,                 1.3131,                 0.7826,                 0.6809,                0.74454,                0.56933,                0.92083,                 1.1345,                 1.3914,               0.009406,               0.009406,               0.009406
                     21,                0.85714,                 1.0632,                 1.2941,                0.79965,                0.70251,                0.77102,                0.58685,                0.89151,                 1.0718,                 1.3728,               0.009373,               0.009373,               0.009373
                     22,                 0.8507,                 1.0345,                 1.2868,                0.81471,                0.69934,                0.78254,                0.59386,                0.93006,                 1.0754,                 1.3996,                0.00934,                0.00934,                0.00934
                     23,                0.84316,                 1.0231,                 1.2848,                0.81163,                0.72718,                 0.7828,                0.59005,                0.91301,                 1.0078,                 1.3937,               0.009307,               0.009307,               0.009307
                     24,                0.82964,                 1.0008,                 1.2825,                0.83954,                0.68671,                0.77986,                0.58286,                0.92202,                 1.0773,                 1.4044,               0.009274,               0.009274,               0.009274
                     25,                0.82849,                0.99323,                 1.2827,                0.86126,                0.71264,                0.80525,                0.62891,                0.89219,                 1.0211,                 1.3677,               0.009241,               0.009241,               0.009241
                     26,                 0.8383,                0.98777,                 1.2767,                0.83173,                0.70549,                0.78614,                0.59472,                0.89886,                 1.0664,                 1.3779,               0.009208,               0.009208,               0.009208
                     27,                0.84225,                 0.9959,                 1.2815,                0.84289,                 0.7268,                0.79797,                0.62349,                0.88953,                0.98335,                 1.3645,               0.009175,               0.009175,               0.009175
                     28,                0.82154,                0.96909,                 1.2737,                0.83001,                0.72228,                0.79318,                0.61647,                0.87847,                0.97897,                  1.366,               0.009142,               0.009142,               0.009142
                     29,                0.82606,                0.96626,                   1.26,                0.83837,                0.71283,                0.78324,                0.59913,                0.91177,                 1.0081,                 1.3841,               0.009109,               0.009109,               0.009109
                     30,                0.81463,                0.94988,                 1.2647,                 0.8457,                0.69361,                0.78417,                0.59729,                0.90321,                 1.0123,                   1.38,               0.009076,               0.009076,               0.009076
                     31,                0.79917,                0.92518,                   1.25,                0.81587,                0.74858,                0.81061,                0.62857,                0.87822,                0.96629,                 1.3613,               0.009043,               0.009043,               0.009043
                     32,                0.79475,                0.91723,                 1.2466,                0.85475,                0.71118,                0.78705,                0.61175,                0.86259,                0.98818,                 1.3518,                0.00901,                0.00901,                0.00901
                     33,                0.80528,                0.93389,                 1.2515,                0.86591,                0.70245,                0.80086,                0.63706,                0.83581,                0.95254,                  1.339,               0.008977,               0.008977,               0.008977
                     34,                 0.8011,                0.92318,                 1.2497,                0.82189,                0.75716,                0.80889,                0.62685,                0.85613,                0.93547,                 1.3495,               0.008944,               0.008944,               0.008944
                     35,                0.78175,                0.90401,                 1.2404,                0.83989,                0.70644,                0.78576,                0.62211,                0.84702,                0.99355,                 1.3289,               0.008911,               0.008911,               0.008911
                     36,                0.77244,                 0.8865,                 1.2404,                0.83847,                0.75613,                 0.8023,                0.63651,                0.85096,                0.96084,                 1.3414,               0.008878,               0.008878,               0.008878
                     37,                0.77077,                0.89026,                 1.2279,                0.81187,                0.75621,                0.81074,                0.63905,                0.82601,                 0.9105,                 1.3119,               0.008845,               0.008845,               0.008845
                     38,                0.75689,                 0.8715,                  1.224,                0.83538,                0.72793,                 0.8027,                0.60297,                0.90343,                 0.9921,                  1.416,               0.008812,               0.008812,               0.008812
